stem,strategy,wait_ratio,loss_ratio,base_wait,act_wait,base_loss,act_loss,composite_w0.50,composite_w0.60,composite_w0.70
traffic_data_20260527_065648,baseline_original,0.9390243902439025,0.955951756685894,31.16,29.26,38.14,36.46,0.9474880734648983,0.9457953368206992,0.9441026001765
traffic_data_20260527_070148,baseline_original,1.0,0.9934971098265896,8.72,8.72,13.84,13.75,0.9967485549132948,0.9973988439306358,0.9980491329479768
traffic_data_20260527_070648,baseline_original,0.6120942782318863,0.6362497235940149,126.01,77.13,135.67,86.32,0.6241720009129506,0.6217564563767377,0.6193409118405249
traffic_data_20260527_071148,adaptive,0.8248101265822785,0.8645833333333333,19.75,16.29,26.88,23.24,0.8446967299578059,0.8407194092827004,0.8367420886075949
traffic_data_20260527_071648,baseline_more_edges_more_tls,0.7454396392703423,0.7630619684082625,48.79,36.37,57.61,43.96,0.7542508038393023,0.7524885709255104,0.7507263380117183
traffic_data_20260527_072148,baseline_more_edges_more_tls,0.9730743012951603,0.9692389286661363,29.34,28.55,37.71,36.55,0.9711566149806483,0.9715401522435506,0.9719236895064531
traffic_data_20260527_072648,adaptive,0.8783888458559256,0.9203771608171818,12.91,11.34,19.09,17.57,0.8993830033365537,0.8951841718404281,0.8909853403443024
traffic_data_20260527_073148,adaptive,0.8544336237826756,0.8896864374763884,19.51,16.67,26.47,23.55,0.8720600306295321,0.8685347492601607,0.8650094678907894
traffic_data_20260527_073648,baseline_more_edges_more_tls,0.9532971067704508,0.9578328328328328,68.09,64.91,79.92,76.55,0.9555649698016417,0.9551113971954036,0.9546578245891654
traffic_data_20260527_074148,adaptive,0.9060379328345224,0.9145527369826435,57.47,52.07,67.41,61.65,0.9102953349085829,0.9094438544937709,0.9085923740789588
traffic_data_20260527_074648,baseline_original,0.9394455252918289,0.9506784011734507,41.12,38.63,54.54,51.85,0.9450619632326398,0.9439386756444776,0.9428153880563155
traffic_data_20260527_075148,baseline_more_edges_more_tls,0.9186991869918699,0.9284920340866988,20.91,19.21,26.99,25.06,0.9235956105392844,0.9226163258298015,0.9216370411203185
traffic_data_20260527_075648,baseline_more_edges_more_tls,0.9724991958829206,0.9732494099134539,62.18,60.47,76.26,74.22,0.9728743028981872,0.9727992814951338,0.9727242600920806
traffic_data_20260527_080148,adaptive,0.9547665369649806,0.9712820512820513,20.56,19.63,29.25,28.41,0.9630242941235159,0.9613727426918088,0.9597211912601018
traffic_data_20260527_080648,baseline_original,0.8755072463768115,0.9093453394986615,69.0,60.41,82.18,74.73,0.8924262929377365,0.8890424836255515,0.8856586743133665
traffic_data_20260527_081148,baseline_more_edges_more_tls,0.8847546921303918,0.9118764244112433,30.37,26.87,39.49,36.01,0.8983155582708175,0.8956033850427323,0.8928912118146473
traffic_data_20260527_081648,adaptive,0.9785534062237173,0.9797273680531283,23.78,23.27,28.61,28.03,0.9791403871384228,0.9790229909554817,0.9789055947725407
traffic_data_20260527_082148,baseline_more_edges_more_tls,0.8817480719794344,0.8824330458465729,77.8,68.6,88.12,77.76,0.8820905589130037,0.8820220615262898,0.8819535641395759
traffic_data_20260527_082648,baseline_more_edges,0.943620178041543,0.9614050303555942,16.85,15.9,23.06,22.17,0.9525126041985685,0.9507341189671635,0.9489556337357583
traffic_data_20260527_083148,baseline_more_edges_more_tls,0.7285247432306255,0.7600075886928477,42.84,31.21,52.71,40.06,0.7442661659617367,0.7411178814155144,0.7379695968692922
traffic_data_20260527_083648,adaptive,0.9269501695799636,0.9426687974430682,38.33,35.53,50.06,47.19,0.9348094835115159,0.9332376207252053,0.931665757938895
traffic_data_20260527_084148,baseline_original,0.9528487229862476,0.9494706448508181,15.27,14.55,20.78,19.73,0.9511596839185328,0.9514974917320758,0.9518352995456187
traffic_data_20260527_084648,no_control,1.0,1.0,40.85,40.85,49.98,49.98,1.0,1.0,1.0
traffic_data_20260527_085148,no_control,1.0,1.0,28.53,28.53,36.16,36.16,1.0,1.0,1.0
traffic_data_20260527_085648,adaptive,0.815050059209818,0.8299876320045666,92.89,75.71,105.11,87.24,0.8225188456071924,0.8210250883277175,0.8195313310482425
traffic_data_20260527_090148,baseline_more_edges,0.9229122055674518,0.942617089739006,46.7,43.1,55.94,52.73,0.932764647653229,0.9307941592360736,0.9288236708189181
traffic_data_20260527_090648,no_control,1.0,1.0,72.04,72.04,83.11,83.11,1.0,1.0,1.0
traffic_data_20260527_091148,no_control,1.0,1.0,46.88,46.88,57.62,57.62,1.0,1.0,1.0
traffic_data_20260527_091648,no_control,1.0,1.0,28.45,28.45,35.57,35.57,1.0,1.0,1.0
traffic_data_20260527_092148,adaptive,0.7932604735883425,0.802952722307561,98.82,78.39,117.18,94.09,0.7981065979479518,0.7971373730760299,0.7961681482041081
traffic_data_20260527_092648,adaptive,0.9227557411273486,0.933063209076175,52.69,48.62,61.7,57.57,0.9279094751017618,0.9268787283068791,0.9258479815119965
traffic_data_20260527_093148,baseline_more_edges_more_tls,0.9393831974477136,0.955400322407308,28.21,26.5,37.22,35.56,0.9473917599275108,0.9457900474315513,0.944188334935592
traffic_data_20260527_093648,no_control,1.0,1.0,72.47,72.47,83.97,83.97,1.0,1.0,1.0
traffic_data_20260527_094148,adaptive,0.9594508975712777,0.9699326075686885,47.35,45.43,57.87,56.13,0.9646917525699831,0.963643581570242,0.9625954105705009
traffic_data_20260527_094648,adaptive,0.9923873705229003,1.001404342659609,80.13,79.52,92.57,92.7,0.9968958565912547,0.9959941593775838,0.995092462163913
traffic_data_20260527_095148,baseline_more_edges_more_tls,0.9913217623497996,0.9956183057448881,14.98,14.85,20.54,20.45,0.9934700340473439,0.993040379707835,0.9926107253683262
traffic_data_20260527_095648,baseline_more_edges,0.9013417521704814,0.9561093247588424,50.68,45.68,62.2,59.47,0.9287255384646619,0.9232487812058259,0.9177720239469898
traffic_data_20260527_100148,baseline_more_edges,0.9065759637188208,0.94469746258946,22.05,19.99,30.74,29.04,0.9256367131541403,0.9218245632670764,0.9180124133800125
traffic_data_20260527_100648,baseline_more_edges_more_tls,0.970399605328071,0.9728107525778484,182.43,177.03,194.93,189.63,0.9716051789529597,0.9713640642279819,0.9711229495030043
traffic_data_20260527_101148,baseline_more_edges_more_tls,0.8697287134031696,0.8913833654051742,37.23,32.38,46.77,41.69,0.8805560394041718,0.8783905742039714,0.8762251090037709
traffic_data_20260527_101648,adaptive,0.7664724338861498,0.7974034847967202,22.31,17.1,29.27,23.34,0.7819379593414351,0.778844854250378,0.775751749159321
