icid,設備編號,路口名稱,群組,經度,緯度,三合一報表連結（網址）
ISF3Z,SSF3Z10,康寧路三段75巷186弄,GS0303,121.612756,25.077137,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSF3Z10
ISFQN,SSFQN10,樂群二路30巷-明水路526巷,GC0040,121.553249,25.079257,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSFQN10
ISFWC,SSFWC10,陽光街68巷,GA0108,121.589333,25.077286,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSFWC10
ISGLN,SSGLN10,明水路北安國中,GA0103,121.541635,25.077603,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSGLN10
ISGRX,SSGRX10,"瑞光路478,513巷",GA0283,121.569426,25.078862,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSGRX10
ISGWF,SSGWF10,成功路三段-星雲街,GC0178,121.589949,25.077446,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSGWF10
ISHKV,SSHKV10,北安路-海總西側,GA0102,121.535034,25.077871,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSHKV10
ISHL7,SSHL710,北安路-明水路(海總前)-,GA0103,121.538939,25.07773,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSHL710
ISHNN,SSHNN10,明水路-樂群一路,GC0029,121.550584,25.077236,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSHNN10
ISHZU,SSHZU10,成功路五段-35巷,GS0040,121.607098,25.077512,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSHZU10
ISIJA,SSIJA10,北安路-87巷,GC0121,121.529622,25.077899,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSIJA10
ISIKD,SSIKD10,北安路-海總正門,GA0103,121.537561,25.077789,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSIKD10
ISIPW,SSIPW10,樂群二路-敬業四路,GC0107,121.558507,25.079906,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSIPW10
ISITY,SSITY10,江南街65巷,GN0517,121.577122,25.077605,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSITY10
ISJJX,SSJJX10,北安路-海總東側門,GA0103,121.533201,25.07804,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSJJX10
ISKTL,SSKTL10,洲子街-港墘路,GN0517,121.576464,25.07879,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSKTL10
ISMIM,SSMIM10,石牌路二段-天母北路(行義路),GN0214,121.525872,25.123684,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSMIM10
ISMPW,SSMPW10,樂群二路-敬業三路,GC0029,121.589257,25.08617,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSMPW10
ISMQK,SSMQK10,植福路-樂群二路,GA0283,121.561818,25.079965,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSMQK10
ISMQQ,SSMQQ10,樂群二路-堤頂二段,GA0283,121.562682,25.080269,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSMQQ10
ISNNB,SSNNB10,明水路397巷19弄永安國小,GC0072,121.549644,25.078634,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNNB10
ISNRE,SSNRE10,"瑞光路548,583巷",GA0283,121.567487,25.079736,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNRE10
ISNU9,SSNU910,文德路-江南街,GA0106,121.578882,25.078591,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNU910
ISNUC,SSNUC10,陽光街22巷(文德派出所),GA0106,121.581172,25.074573,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNUC10
ISNUM,SSNUM10,文德路66巷,GC0128,121.581201,25.078473,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNUM10
ISNV6,SSNV610,瑞光路316巷(內湖花市),GS0037,121.573937,25.076804,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNV610
ISNV7,SSNV710,文德路101巷,GC0177,121.583619,25.0785,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNV710
ISNVA,SSNVA10,內湖路二段-文德路,GC0128,121.578872,25.078582,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSNVA10
ISPRA,SSPRA10,基湖路-堤頂二段,GA0283,121.56434,25.078683,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSPRA10
ISQFJ,SSQFJ10,延平北五段2號,GA0012,121.511268,25.079092,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSQFJ10
ISQU5,SSQU510,內湖路一段-737巷,GA0106,121.57826,25.07887,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSQU510
ISQVZ,SSQVZ10,文德路220巷,GC0177,121.588002,25.078799,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSQVZ10
ISRRS,SSRRS10,瑞光路548巷-基湖路35巷,GA0283,121.567118,25.079035,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSRRS10
ISSNW,SSSNW10,崇實路-大直街20巷,GA0019,121.544597,25.081176,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSSNW10
ISSTW,SSSTW10,內湖路一段-港墘路(南),GA0106,121.576723,25.079204,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSSTW10
ISSWC,SSSWC10,成功路三段-文德路,GA0108,121.588796,25.078994,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSSWC10
ISTLK,SSTLK10,北安路-通北街,GC0121,121.541068,25.079492,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSTLK10
ISUTR,SSUTR10,內湖路一段-港墘路,GA0106,121.577043,25.079663,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSUTR10
ISUX8,SSUX810,康寧路一段-星雲街,GA0281,121.593695,25.079417,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSUX810
ISVHP,SSVHP10,承德路四段277巷,GA0231,121.519689,25.089544,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSVHP10
ISVI9,SSVI910,中山北四段-通河街,GS0584,121.524396,25.079777,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSVI910
ISVMA,SSVMA10,北安路-大直橋,GC0101,121.544439,25.079732,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSVMA10
ISVMB,SSVMB10,北安路458巷大直橋下,GC0040,121.544557,25.079479,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSVMB10
ISWHY,SSWHY10,通河街2巷,GA0028,121.523692,25.079843,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSWHY10
ISWHZ,SSWHZ10,通河街16號(劍潭國小),GC0068,121.523009,25.080035,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSWHZ10
ISWMR,SSWMR10,北安路-大直街,GC0101,121.547414,25.079875,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSWMR10
ISWMT,SSWMT10,北安路518巷-458巷41弄,GC0101,121.547414,25.079875,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSWMT10
ISWRP,SSWRP10,洲子街-內湖路一段360巷,GA0105,121.570265,25.080339,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSWRP10
ISWXB,SSWXB10,星雲街138巷(康寧國小),GA0281,121.594241,25.079613,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSWXB10
ISXNR,SSXNR10,明水路-樂群二路,GC0029,121.552044,25.079984,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSXNR10
ISXP7,SSXP710,樂群二路-敬業二路,GC0029,121.553953,25.079914,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSXP710
ISXQJ,SSXQJ10,樂群二路濱江國中,GC0107,121.56085,25.07991,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSXQJ10
ISXRD,SSXRD10,基湖路35巷,GA0283,121.564771,25.079935,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSXRD10
ISXTK,SSXTK10,內湖路一段-港墘路(北),GA0106,121.575814,25.079831,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSXTK10
ISXUX,SSXUX10,內湖路二段103巷,GA0106,121.582773,25.079794,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSXUX10
ISYHQ,SSYHQ10,承德路四段-通河街,GA0231,121.522147,25.080219,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSYHQ10
ISYP7,SSYP710,敬業一路-敬業二路,GC0102,121.553934,25.08019,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSYP710
ISYQQ,SSYQQ10,樂群二路-敬業一路,GC0040,121.553243,25.079916,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSYQQ10
ISZXJ,SSZXJ10,星雲街150巷,GA0281,121.595553,25.080168,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/SSZXJ10
IT5MY,ST5MY10,北安路554巷,GA0103,121.54818,25.080504,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST5MY10
IT5QV,ST5QV10,樂群二路-敬業三路162巷,GC0107,121.559676,25.079883,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST5QV10
IT5RX,ST5RX10,瑞光路583巷-基湖路3巷,GA0283,121.567884,25.080337,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST5RX10
IT5TA,ST5TA10,洲子街-內湖路一段518巷,GC0163,121.574142,25.080433,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST5TA10
IT5TC,ST5TC10,內湖路一段-629巷,GA0105,121.574459,25.080314,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST5TC10
IT6HS,ST6HS10,"承德路四段-33,40巷",GA0231,121.522417,25.080732,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST6HS10
IT6N7,ST6N710,北安路554巷-578巷8弄,GA0103,121.548914,25.080564,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST6N710
IT7TX,ST7TX10,港墘路82巷,GN0280,121.577831,25.080716,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST7TX10
IT8NW,ST8NW10,崇實路-大直街62巷,GA0019,121.544615,25.082836,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST8NW10
IT8PW,ST8PW10,北安路630巷25弄-北安路630巷,GC0029,121.549563,25.082752,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST8PW10
IT8RE,ST8RE10,瑞光路-基湖路,GA0105,121.565014,25.080811,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST8RE10
IT8SZ,ST8SZ10,內湖路一段591巷,GA0105,121.573152,25.080771,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST8SZ10
IT8WL,ST8WL10,成功路四段-康寧路一段,GA0108,121.590956,25.080764,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST8WL10
IT8XQ,ST8XQ10,星雲街168巷,GA0281,121.596446,25.080682,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST8XQ10
IT9FV,ST9FV10,重慶北四段49巷,GA0111,121.51312,25.081036,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST9FV10
IT9NN,ST9NN10,明水路606巷,GC0029,121.551448,25.081855,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/ST9NN10
ITAN5,STAN510,北安路588巷,GA0103,121.54859,25.081198,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STAN510
ITART,START10,內湖路一段-麗山街,GA0105,121.571984,25.081163,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/START10
ITARZ,STARZ10,洲子街-瑞光路583巷,GA0283,121.568319,25.081111,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STARZ10
ITAWN,STAWN10,成功路四段-湖光市場(行人穿越),GA0108,121.591663,25.081465,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STAWN10
ITAXZ,STAXZ10,金湖路109巷(汽訓中心),GA0281,121.598192,25.080636,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STAXZ10
ITBNU,STBNU10,敬業一路-明水路606巷,GC0102,121.552502,25.08135,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STBNU10
ITCPM,STCPM10,敬業三路162巷,GC0029,121.556323,25.079246,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STCPM10
ITCPQ,STCPQ10,樂群三路-敬業三路,GC0102,121.556328,25.082595,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STCPQ10
ITCPZ,STCPZ10,敬業四路-樂群三路,GC0029,121.558519,25.082596,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STCPZ10
ITCRF,STCRF10,基湖路-洲子街,GA0105,121.565116,25.081452,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STCRF10
ITCVW,STCVW10,內湖路二段-179巷(達人女中),GA0110,121.587539,25.081337,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STCVW10
ITDQL,STDQL10,植福路286巷,GC0029,121.561093,25.081573,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STDQL10
ITDRK,STDRK10,"內湖路一段360,411巷",GS0056,121.570885,25.081502,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STDRK10
ITDUA,STDUA10,內湖路一段737巷-麗山街68巷,GN0280,121.579222,25.081469,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STDUA10
ITDXW,STDXW10,金湖路-星雲街,GA0281,121.597482,25.081442,https://www.ttcx.dot.gov.taipei/cpt/api/TimingPlan/pdf/STDXW10
