Detector;Time;qPKW;vPKW
ZJTJ820;15875.00;160;42.53
ZJHKR40;15880.00;67;35.87
ZJ7KV40_ZINKW40;15880.00;72;37.62
ZJSJD40;15880.00;115;18.84
ZK5JW60;15880.00;44;26.32
ZK7K820;15880.00;19;41.21
Z7230E0_ZK7KP40;15880.00;71;25.91
ZJHKR20_ZJWJ740;15880.00;97;37.65
ZKJJP20;15880.00;176;45.51
ZK9KC60;15880.00;126;30.94
ZJTJ960;15880.00;43;37.65
ZJQJI20;15880.00;102;40.51
ZJTJ820;15880.00;163;43.1
ZJHKR40;15885.00;85;30.91
ZJ7KV40_ZINKW40;15885.00;98;35.45
ZJSJD40;15885.00;113;20.98
ZK5JW60;15885.00;39;30.62
ZK7K820;15885.00;26;35.73
Z7230E0_ZK7KP40;15885.00;86;25.52
ZJHKR20_ZJWJ740;15885.00;104;37.46
ZKJJP20;15885.00;144;42.28
ZK9KC60;15885.00;98;36.01
ZJTJ960;15885.00;46;37.65
ZJQJI20;15885.00;109;42.23
ZJTJ820;15885.00;172;41.38
ZJHKR40;15890.00;91;30.47
ZJ7KV40_ZINKW40;15890.00;81;41.2
ZJSJD40;15890.00;108;20.69
ZK5JW60;15890.00;36;34.56
ZK7K820;15890.00;19;39.32
Z7230E0_ZK7KP40;15890.00;71;22.37
ZJHKR20_ZJWJ740;15890.00;115;39.88
ZKJJP20;15890.00;184;32.2
ZK9KC60;15890.00;130;31.85
ZJTJ960;15890.00;33;35.88
ZJQJI20;15890.00;100;42.29
ZJTJ820;15890.00;182;38.15
ZJHKR40;15895.00;93;31.99
ZJ7KV40_ZINKW40;15895.00;93;39.23
ZJSJD40;15895.00;117;22.27
ZK5JW60;15895.00;45;29.84
ZK7K820;15895.00;43;38.0
Z7230E0_ZK7KP40;15895.00;84;24.41
ZJHKR20_ZJWJ740;15895.00;93;37.39
ZKJJP20;15895.00;140;27.7
ZK9KC60;15895.00;106;30.7
ZJTJ960;15895.00;41;34.73
ZJQJI20;15895.00;106;45.46
ZJTJ820;15895.00;170;40.39
ZJHKR40;15900.00;80;35.12
ZJ7KV40_ZINKW40;15900.00;85;40.24
ZJSJD40;15900.00;112;22.29
ZK5JW60;15900.00;46;33.0
ZK7K820;15900.00;19;35.0
Z7230E0_ZK7KP40;15900.00;71;24.76
ZJHKR20_ZJWJ740;15900.00;114;41.5
ZKJJP20;15900.00;194;35.68
ZK9KC60;15900.00;109;30.18
ZJTJ960;15900.00;23;37.22
ZJQJI20;15900.00;110;42.6
ZJTJ820;15900.00;176;37.15
ZJHKR40;15905.00;107;35.32
ZJ7KV40_ZINKW40;15905.00;85;40.19
ZJSJD40;15905.00;92;23.01
ZK5JW60;15905.00;52;33.37
ZK7K820;15905.00;32;38.66
Z7230E0_ZK7KP40;15905.00;85;27.72
ZJHKR20_ZJWJ740;15905.00;101;38.34
ZKJJP20;15905.00;135;41.04
ZK9KC60;15905.00;85;22.56
ZJTJ960;15905.00;42;43.45
ZJQJI20;15905.00;121;44.51
ZJTJ820;15905.00;147;43.95
ZJHKR40;15910.00;70;33.84
ZJ7KV40_ZINKW40;15910.00;77;36.4
ZJSJD40;15910.00;87;17.78
ZK5JW60;15910.00;45;27.73
ZK7K820;15910.00;24;41.75
Z7230E0_ZK7KP40;15910.00;65;23.72
ZJHKR20_ZJWJ740;15910.00;107;40.77
ZKJJP20;15910.00;167;34.43
ZK9KC60;15910.00;118;26.19
ZJTJ960;15910.00;34;43.26
ZJQJI20;15910.00;110;39.98
ZJTJ820;15910.00;163;38.46
ZJHKR40;15915.00;85;34.34
ZJ7KV40_ZINKW40;15915.00;99;38.05
ZJSJD40;15915.00;109;22.52
ZK5JW60;15915.00;43;31.49
ZK7K820;15915.00;25;39.96
Z7230E0_ZK7KP40;15915.00;86;26.57
ZJHKR20_ZJWJ740;15915.00;93;39.92
ZKJJP20;15915.00;118;38.25
ZK9KC60;15915.00;104;33.09
ZJTJ960;15915.00;35;43.89
ZJQJI20;15915.00;117;40.97
ZJTJ820;15915.00;151;42.97
ZJHKR40;15920.00;82;33.43
ZJ7KV40_ZINKW40;15920.00;73;39.94
ZJSJD40;15920.00;138;24.2
ZK5JW60;15920.00;48;35.94
ZK7K820;15920.00;20;39.9
Z7230E0_ZK7KP40;15920.00;74;24.64
ZJHKR20_ZJWJ740;15920.00;119;41.15
ZKJJP20;15920.00;186;37.83
ZK9KC60;15920.00;137;43.07
ZJTJ960;15920.00;27;35.59
ZJQJI20;15920.00;103;43.19
ZJTJ820;15920.00;167;41.1
ZJHKR40;15925.00;83;35.94
ZJ7KV40_ZINKW40;15925.00;87;38.37
ZJSJD40;15925.00;125;18.25
ZK5JW60;15925.00;48;37.65
ZK7K820;15925.00;29;35.45
Z7230E0_ZK7KP40;15925.00;84;26.69
ZJHKR20_ZJWJ740;15925.00;123;39.33
ZKJJP20;15925.00;152;38.3
ZK9KC60;15925.00;102;41.29
ZJTJ960;15925.00;45;38.47
ZJQJI20;15925.00;137;42.15
ZJTJ820;15925.00;166;38.91
ZJHKR40;15930.00;74;32.18
ZJ7KV40_ZINKW40;15930.00;67;41.23
ZJSJD40;15930.00;86;20.52
ZK5JW60;15930.00;46;31.17
ZK7K820;15930.00;22;40.32
Z7230E0_ZK7KP40;15930.00;68;24.49
ZJHKR20_ZJWJ740;15930.00;102;37.08
ZKJJP20;15930.00;173;40.82
ZK9KC60;15930.00;126;33.14
ZJTJ960;15930.00;40;46.77
ZJQJI20;15930.00;103;40.27
ZJTJ820;15930.00;137;44.36
ZJHKR40;15935.00;84;36.26
ZJ7KV40_ZINKW40;15935.00;77;37.73
ZJSJD40;15935.00;129;21.64
ZK5JW60;15935.00;38;32.5
ZK7K820;15935.00;26;36.54
Z7230E0_ZK7KP40;15935.00;85;27.82
ZJHKR20_ZJWJ740;15935.00;99;39.1
ZKJJP20;15935.00;118;37.07
ZK9KC60;15935.00;89;43.31
ZJTJ960;15935.00;41;44.49
ZJQJI20;15935.00;117;38.82
ZJTJ820;15935.00;133;42.44
ZJHKR40;15940.00;75;30.92
ZJ7KV40_ZINKW40;15940.00;64;40.64
ZJSJD40;15940.00;106;19.38
ZK5JW60;15940.00;44;32.36
ZK7K820;15940.00;24;38.25
Z7230E0_ZK7KP40;15940.00;74;27.8
ZJHKR20_ZJWJ740;15940.00;100;37.75
ZKJJP20;15940.00;188;38.91
ZK9KC60;15940.00;138;42.72
ZJTJ960;15940.00;23;43.57
ZJQJI20;15940.00;106;38.3
ZJTJ820;15940.00;156;41.13
ZJHKR40;15945.00;69;36.22
ZJ7KV40_ZINKW40;15945.00;78;41.14
ZJSJD40;15945.00;160;19.08
ZK5JW60;15945.00;45;31.51
ZK7K820;15945.00;41;37.17
Z7230E0_ZK7KP40;15945.00;80;24.88
ZJHKR20_ZJWJ740;15945.00;91;39.47
ZKJJP20;15945.00;124;37.47
ZK9KC60;15945.00;104;35.38
ZJTJ960;15945.00;33;46.73
ZJQJI20;15945.00;116;38.16
ZJTJ820;15945.00;153;41.93
ZJHKR40;15950.00;99;30.89
ZJ7KV40_ZINKW40;15950.00;72;38.78
ZJSJD40;15950.00;90;19.4
ZK5JW60;15950.00;37;31.65
ZK7K820;15950.00;29;41.66
Z7230E0_ZK7KP40;15950.00;69;33.49
ZJHKR20_ZJWJ740;15950.00;112;39.51
ZKJJP20;15950.00;167;39.99
ZK9KC60;15950.00;142;32.92
ZJTJ960;15950.00;33;38.45
ZJQJI20;15950.00;85;41.36
ZJTJ820;15950.00;137;46.74
ZJHKR40;15955.00;102;31.46
ZJ7KV40_ZINKW40;15955.00;82;36.47
ZJSJD40;15955.00;91;19.24
ZK5JW60;15955.00;40;36.95
ZK7K820;15955.00;28;37.21
Z7230E0_ZK7KP40;15955.00;83;38.03
ZJHKR20_ZJWJ740;15955.00;104;38.07
ZKJJP20;15955.00;150;43.27
ZK9KC60;15955.00;107;34.9
ZJTJ960;15955.00;33;36.97
ZJQJI20;15955.00;108;40.52
ZJTJ820;15955.00;148;39.89
ZJHKR40;15960.00;84;33.54
ZJ7KV40_ZINKW40;15960.00;76;33.28
ZJSJD40;15960.00;112;21.29
ZK5JW60;15960.00;37;40.43
ZK7K820;15960.00;20;35.5
Z7230E0_ZK7KP40;15960.00;63;36.18
ZJHKR20_ZJWJ740;15960.00;115;37.57
ZKJJP20;15960.00;158;38.84
ZK9KC60;15960.00;135;26.42
ZJTJ960;15960.00;35;38.34
ZJQJI20;15960.00;96;43.07
ZJTJ820;15960.00;137;38.72
ZJHKR40;15965.00;72;34.24
ZJ7KV40_ZINKW40;15965.00;83;38.73
ZJSJD40;15965.00;105;24.15
ZK5JW60;15965.00;50;34.1
ZK7K820;15965.00;30;36.6
Z7230E0_ZK7KP40;15965.00;84;34.46
ZJHKR20_ZJWJ740;15965.00;93;37.28
ZKJJP20;15965.00;140;33.64
ZK9KC60;15965.00;104;35.62
ZJTJ960;15965.00;33;43.76
ZJQJI20;15965.00;110;39.26
ZJTJ820;15965.00;150;40.83
ZJHKR40;15970.00;92;31.36
ZJ7KV40_ZINKW40;15970.00;77;38.3
ZJSJD40;15970.00;129;22.05
ZK5JW60;15970.00;46;31.04
ZK7K820;15970.00;23;34.04
Z7230E0_ZK7KP40;15970.00;73;28.85
ZJHKR20_ZJWJ740;15970.00;115;38.95
ZKJJP20;15970.00;169;39.92
ZK9KC60;15970.00;147;38.62
ZJTJ960;15970.00;30;41.73
ZJQJI20;15970.00;111;36.68
ZJTJ820;15970.00;150;38.79
ZJHKR40;15975.00;64;31.42
ZJ7KV40_ZINKW40;15975.00;71;37.22
ZJSJD40;15975.00;139;17.21
ZK5JW60;15975.00;67;29.48
ZK7K820;15975.00;28;35.89
Z7230E0_ZK7KP40;15975.00;80;28.76
ZJHKR20_ZJWJ740;15975.00;126;41.04
ZKJJP20;15975.00;157;38.68
ZK9KC60;15975.00;99;39.21
ZJTJ960;15975.00;36;42.97
ZJQJI20;15975.00;112;39.83
ZJTJ820;15975.00;170;40.97
ZJHKR40;15980.00;70;33.14
ZJ7KV40_ZINKW40;15980.00;94;35.31
ZJSJD40;15980.00;129;27.86
ZK5JW60;15980.00;73;32.99
ZK7K820;15980.00;32;30.66
Z7230E0_ZK7KP40;15980.00;83;25.29
ZJHKR20_ZJWJ740;15980.00;99;40.45
ZKJJP20;15980.00;122;29.22
ZK9KC60;15980.00;96;37.06
ZJTJ960;15980.00;27;33.74
ZJQJI20;15980.00;91;39.68
ZJTJ820;15980.00;164;39.76
ZJHKR40;15985.00;64;30.84
ZJ7KV40_ZINKW40;15985.00;77;34.6
ZJSJD40;15985.00;116;24.03
ZK5JW60;15985.00;64;34.2
ZK7K820;15985.00;42;40.0
Z7230E0_ZK7KP40;15985.00;77;27.3
ZJHKR20_ZJWJ740;15985.00;112;38.03
ZKJJP20;15985.00;137;26.93
ZK9KC60;15985.00;113;36.27
ZJTJ960;15985.00;34;40.47
ZJQJI20;15985.00;112;34.28
ZJTJ820;15985.00;172;43.3
ZJHKR40;15990.00;93;30.49
ZJ7KV40_ZINKW40;15990.00;82;37.85
ZJSJD40;15990.00;104;29.82
ZK5JW60;15990.00;43;28.35
ZK7K820;15990.00;14;42.0
Z7230E0_ZK7KP40;15990.00;57;23.34
ZJHKR20_ZJWJ740;15990.00;121;40.78
ZKJJP20;15990.00;140;27.08
ZK9KC60;15990.00;118;36.5
ZJTJ960;15990.00;38;43.21
ZJQJI20;15990.00;98;40.18
ZJTJ820;15990.00;175;37.75
ZJHKR40;15995.00;72;31.92
ZJ7KV40_ZINKW40;15995.00;59;37.34
ZJSJD40;15995.00;164;22.99
ZK5JW60;15995.00;54;30.74
ZK7K820;15995.00;25;24.2
Z7230E0_ZK7KP40;15995.00;53;22.06
ZJHKR20_ZJWJ740;15995.00;137;39.48
ZKJJP20;15995.00;159;23.7
ZK9KC60;15995.00;164;39.07
ZJTJ960;15995.00;33;46.91
ZJQJI20;15995.00;121;38.66
ZJTJ820;15995.00;152;37.28
ZJHKR40;16000.00;66;32.14
ZJ7KV40_ZINKW40;16000.00;69;33.39
ZJSJD40;16000.00;114;23.39
ZK5JW60;16000.00;52;26.94
ZK7K820;16000.00;12;32.58
Z7230E0_ZK7KP40;16000.00;58;23.28
ZJHKR20_ZJWJ740;16000.00;132;37.92
ZKJJP20;16000.00;124;23.45
ZK9KC60;16000.00;149;40.95
ZJTJ960;16000.00;36;46.56
ZJQJI20;16000.00;98;40.83
ZJTJ820;16000.00;169;37.74
ZJHKR40;16005.00;75;34.31
ZJ7KV40_ZINKW40;16005.00;55;35.57
ZJSJD40;16005.00;103;24.75
ZK5JW60;16005.00;48;29.25
ZK7K820;16005.00;16;40.56
Z7230E0_ZK7KP40;16005.00;62;23.23
ZJHKR20_ZJWJ740;16005.00;123;42.08
ZKJJP20;16005.00;164;28.6
ZK9KC60;16005.00;165;33.93
ZJTJ960;16005.00;30;43.93
ZJQJI20;16005.00;121;36.21
ZJTJ820;16005.00;190;33.45
ZJHKR40;16010.00;80;32.27
ZJ7KV40_ZINKW40;16010.00;85;36.97
ZJSJD40;16010.00;128;19.23
ZK5JW60;16010.00;50;32.12
ZK7K820;16010.00;38;36.34
Z7230E0_ZK7KP40;16010.00;67;30.67
ZJHKR20_ZJWJ740;16010.00;121;39.59
ZKJJP20;16010.00;150;24.17
ZK9KC60;16010.00;138;29.51
ZJTJ960;16010.00;30;48.07
ZJQJI20;16010.00;101;42.86
ZJTJ820;16010.00;164;30.01
ZJHKR40;16015.00;73;28.59
ZJ7KV40_ZINKW40;16015.00;63;33.24
ZJSJD40;16015.00;102;24.91
ZK5JW60;16015.00;54;25.33
ZK7K820;16015.00;36;28.11
Z7230E0_ZK7KP40;16015.00;61;23.99
ZJHKR20_ZJWJ740;16015.00;128;37.54
ZKJJP20;16015.00;156;21.35
ZK9KC60;16015.00;138;28.88
ZJTJ960;16015.00;39;43.95
ZJQJI20;16015.00;136;40.65
ZJTJ820;16015.00;192;31.99
ZJHKR40;16020.00;73;32.44
ZJ7KV40_ZINKW40;16020.00;83;35.52
ZJSJD40;16020.00;158;19.92
ZK5JW60;16020.00;31;27.06
ZK7K820;16020.00;23;37.04
Z7230E0_ZK7KP40;16020.00;71;24.28
ZJHKR20_ZJWJ740;16020.00;132;36.67
ZKJJP20;16020.00;113;19.13
ZK9KC60;16020.00;136;27.04
ZJTJ960;16020.00;39;41.82
ZJQJI20;16020.00;113;37.55
ZJTJ820;16020.00;173;29.27
ZJHKR40;16025.00;60;29.88
ZJ7KV40_ZINKW40;16025.00;67;36.79
ZJSJD40;16025.00;109;24.89
ZK5JW60;16025.00;43;23.6
ZK7K820;16025.00;38;39.45
Z7230E0_ZK7KP40;16025.00;58;26.03
ZJHKR20_ZJWJ740;16025.00;160;36.0
ZKJJP20;16025.00;131;22.34
ZK9KC60;16025.00;129;27.47
ZJTJ960;16025.00;40;41.17
ZJQJI20;16025.00;131;40.74
ZJTJ820;16025.00;169;26.81
ZJHKR40;16030.00;94;31.53
ZJ7KV40_ZINKW40;16030.00;89;36.88
ZJSJD40;16030.00;137;22.52
ZK5JW60;16030.00;51;31.61
ZK7K820;16030.00;15;27.47
Z7230E0_ZK7KP40;16030.00;49;24.37
ZJHKR20_ZJWJ740;16030.00;145;34.41
ZKJJP20;16030.00;147;23.66
ZK9KC60;16030.00;132;28.77
ZJTJ960;16030.00;23;46.78
ZJQJI20;16030.00;125;38.78
ZJTJ820;16030.00;177;27.76
ZJHKR40;16035.00;91;33.64
ZJ7KV40_ZINKW40;16035.00;83;33.9
ZJSJD40;16035.00;134;22.31
ZK5JW60;16035.00;68;35.19
ZK7K820;16035.00;33;31.52
Z7230E0_ZK7KP40;16035.00;57;23.7
ZJHKR20_ZJWJ740;16035.00;117;34.53
ZKJJP20;16035.00;118;19.52
ZK9KC60;16035.00;114;25.68
ZJTJ960;16035.00;30;47.13
ZJQJI20;16035.00;128;36.34
ZJTJ820;16035.00;187;32.86
ZJHKR40;16040.00;86;30.74
ZJ7KV40_ZINKW40;16040.00;67;33.61
ZJSJD40;16040.00;195;23.64
ZK5JW60;16040.00;46;29.48
ZK7K820;16040.00;26;41.54
Z7230E0_ZK7KP40;16040.00;70;26.62
ZJHKR20_ZJWJ740;16040.00;149;35.7
ZKJJP20;16040.00;130;22.94
ZK9KC60;16040.00;138;39.06
ZJTJ960;16040.00;38;42.87
ZJQJI20;16040.00;137;32.61
ZJTJ820;16040.00;163;27.88
ZJHKR40;16045.00;87;30.84
ZJ7KV40_ZINKW40;16045.00;56;37.32
ZJSJD40;16045.00;148;19.18
ZK5JW60;16045.00;47;31.32
ZK7K820;16045.00;32;38.69
Z7230E0_ZK7KP40;16045.00;53;20.69
ZJHKR20_ZJWJ740;16045.00;141;34.55
ZKJJP20;16045.00;180;22.37
ZK9KC60;16045.00;161;38.45
ZJTJ960;16045.00;48;47.81
ZJQJI20;16045.00;146;28.79
ZJTJ820;16045.00;188;26.96
ZJHKR40;16050.00;86;29.21
ZJ7KV40_ZINKW40;16050.00;83;35.71
ZJSJD40;16050.00;167;23.45
ZK5JW60;16050.00;48;32.94
ZK7K820;16050.00;35;40.6
Z7230E0_ZK7KP40;16050.00;50;22.28
ZJHKR20_ZJWJ740;16050.00;130;35.02
ZKJJP20;16050.00;158;28.31
ZK9KC60;16050.00;148;33.04
ZJTJ960;16050.00;29;35.69
ZJQJI20;16050.00;128;36.58
ZJTJ820;16050.00;203;29.52
ZJHKR40;16055.00;83;31.86
ZJ7KV40_ZINKW40;16055.00;100;35.05
ZJSJD40;16055.00;161;21.12
ZK5JW60;16055.00;81;37.06
ZK7K820;16055.00;34;35.09
Z7230E0_ZK7KP40;16055.00;57;23.86
ZJHKR20_ZJWJ740;16055.00;108;32.54
ZKJJP20;16055.00;89;23.84
ZK9KC60;16055.00;98;32.74
ZJTJ960;16055.00;52;35.58
ZJQJI20;16055.00;142;32.3
ZJTJ820;16055.00;205;34.84
ZJHKR40;16060.00;72;34.14
ZJ7KV40_ZINKW40;16060.00;88;34.67
ZJSJD40;16060.00;165;23.99
ZK5JW60;16060.00;46;33.74
ZK7K820;16060.00;38;36.89
Z7230E0_ZK7KP40;16060.00;75;26.63
ZJHKR20_ZJWJ740;16060.00;107;36.12
ZKJJP20;16060.00;146;27.77
ZK9KC60;16060.00;130;27.55
ZJTJ960;16060.00;45;45.36
ZJQJI20;16060.00;111;39.75
ZJTJ820;16060.00;191;37.01
ZJHKR40;16065.00;72;32.08
ZJ7KV40_ZINKW40;16065.00;90;36.54
ZJSJD40;16065.00;175;22.93
ZK5JW60;16065.00;74;31.53
ZK7K820;16065.00;35;38.31
Z7230E0_ZK7KP40;16065.00;81;28.54
ZJHKR20_ZJWJ740;16065.00;101;36.43
ZKJJP20;16065.00;130;24.83
ZK9KC60;16065.00;107;31.72
ZJTJ960;16065.00;53;37.87
ZJQJI20;16065.00;116;37.4
ZJTJ820;16065.00;209;34.55
ZJHKR40;16070.00;75;31.95
ZJ7KV40_ZINKW40;16070.00;88;36.61
ZJSJD40;16070.00;180;21.88
ZK5JW60;16070.00;52;34.37
ZK7K820;16070.00;28;32.86
Z7230E0_ZK7KP40;16070.00;57;24.79
ZJHKR20_ZJWJ740;16070.00;120;34.31
ZKJJP20;16070.00;178;26.71
ZK9KC60;16070.00;129;37.38
ZJTJ960;16070.00;33;38.52
ZJQJI20;16070.00;106;39.26
ZJTJ820;16070.00;182;31.76
ZJHKR40;16075.00;67;33.78
ZJ7KV40_ZINKW40;16075.00;85;36.37
ZJSJD40;16075.00;156;23.42
ZK5JW60;16075.00;68;29.38
ZK7K820;16075.00;44;31.3
Z7230E0_ZK7KP40;16075.00;69;27.92
ZJHKR20_ZJWJ740;16075.00;103;33.86
ZKJJP20;16075.00;110;23.34
ZK9KC60;16075.00;115;32.43
ZJTJ960;16075.00;43;37.67
ZJQJI20;16075.00;141;37.1
ZJTJ820;16075.00;187;29.84
ZJHKR40;16080.00;79;31.67
ZJ7KV40_ZINKW40;16080.00;75;35.62
ZJSJD40;16080.00;137;21.88
ZK5JW60;16080.00;49;32.57
ZK7K820;16080.00;30;30.93
Z7230E0_ZK7KP40;16080.00;70;25.45
ZJHKR20_ZJWJ740;16080.00;114;34.45
ZKJJP20;16080.00;147;26.22
ZK9KC60;16080.00;147;41.8
ZJTJ960;16080.00;23;40.09
ZJQJI20;16080.00;124;39.6
ZJTJ820;16080.00;165;32.72
ZJHKR40;16085.00;56;33.09
ZJ7KV40_ZINKW40;16085.00;68;37.52
ZJSJD40;16085.00;135;24.82
ZK5JW60;16085.00;82;33.44
ZK7K820;16085.00;32;34.62
Z7230E0_ZK7KP40;16085.00;66;20.66
ZJHKR20_ZJWJ740;16085.00;102;32.32
ZKJJP20;16085.00;156;26.4
ZK9KC60;16085.00;108;36.67
ZJTJ960;16085.00;40;41.62
ZJQJI20;16085.00;114;38.31
ZJTJ820;16085.00;174;37.06
ZJHKR40;16090.00;73;35.66
ZJ7KV40_ZINKW40;16090.00;80;37.12
ZJSJD40;16090.00;140;20.63
ZK5JW60;16090.00;63;37.76
ZK7K820;16090.00;37;32.27
Z7230E0_ZK7KP40;16090.00;57;25.05
ZJHKR20_ZJWJ740;16090.00;133;31.08
ZKJJP20;16090.00;171;29.05
ZK9KC60;16090.00;131;32.9
ZJTJ960;16090.00;43;47.88
ZJQJI20;16090.00;104;41.12
ZJTJ820;16090.00;174;39.64
ZJHKR40;16095.00;101;39.23
ZJ7KV40_ZINKW40;16095.00;100;40.24
ZJSJD40;16095.00;146;18.03
ZK5JW60;16095.00;81;33.75
ZK7K820;16095.00;44;31.66
Z7230E0_ZK7KP40;16095.00;62;27.04
ZJHKR20_ZJWJ740;16095.00;121;36.27
ZKJJP20;16095.00;126;28.98
ZK9KC60;16095.00;110;32.26
ZJTJ960;16095.00;45;41.96
ZJQJI20;16095.00;143;39.1
ZJTJ820;16095.00;176;38.9
ZJHKR40;16100.00;105;33.24
ZJ7KV40_ZINKW40;16100.00;81;38.48
ZJSJD40;16100.00;138;22.04
ZK5JW60;16100.00;54;30.8
ZK7K820;16100.00;24;40.79
Z7230E0_ZK7KP40;16100.00;69;24.78
ZJHKR20_ZJWJ740;16100.00;135;38.73
ZKJJP20;16100.00;192;35.21
ZK9KC60;16100.00;143;29.69
ZJTJ960;16100.00;36;35.42
ZJQJI20;16100.00;121;36.58
ZJTJ820;16100.00;176;41.23
ZJHKR40;16105.00;115;29.63
ZJ7KV40_ZINKW40;16105.00;86;41.21
ZJSJD40;16105.00;153;21.48
ZK5JW60;16105.00;78;29.74
ZK7K820;16105.00;34;39.65
Z7230E0_ZK7KP40;16105.00;77;25.67
ZJHKR20_ZJWJ740;16105.00;113;38.51
ZKJJP20;16105.00;120;24.36
ZK9KC60;16105.00;163;27.04
ZJTJ960;16105.00;35;38.86
ZJQJI20;16105.00;154;32.3
ZJTJ820;16105.00;148;41.72
ZJHKR40;16110.00;90;36.26
ZJ7KV40_ZINKW40;16110.00;74;41.22
ZJSJD40;16110.00;156;21.96
ZK5JW60;16110.00;22;20.91
ZK7K820;16110.00;32;37.94
Z7230E0_ZK7KP40;16110.00;60;20.05
ZJHKR20_ZJWJ740;16110.00;130;41.37
ZKJJP20;16110.00;145;24.46
ZK9KC60;16110.00;147;33.41
ZJTJ960;16110.00;46;33.72
ZJQJI20;16110.00;130;37.42
ZJTJ820;16110.00;176;40.46
ZJHKR40;16115.00;88;37.99
ZJ7KV40_ZINKW40;16115.00;85;39.26
ZJSJD40;16115.00;141;19.49
ZK5JW60;16115.00;72;31.35
ZK7K820;16115.00;39;31.79
Z7230E0_ZK7KP40;16115.00;65;21.84
ZJHKR20_ZJWJ740;16115.00;110;36.57
ZKJJP20;16115.00;113;24.52
ZK9KC60;16115.00;149;26.29
ZJTJ960;16115.00;38;30.63
ZJQJI20;16115.00;133;29.8
ZJTJ820;16115.00;165;38.56
ZJHKR40;16120.00;91;35.62
ZJ7KV40_ZINKW40;16120.00;66;39.69
ZJSJD40;16120.00;153;26.57
ZK5JW60;16120.00;61;32.77
ZK7K820;16120.00;21;33.29
Z7230E0_ZK7KP40;16120.00;71;23.06
ZJHKR20_ZJWJ740;16120.00;129;36.31
ZKJJP20;16120.00;157;31.83
ZK9KC60;16120.00;136;31.39
ZJTJ960;16120.00;32;33.38
ZJQJI20;16120.00;108;22.84
ZJTJ820;16120.00;191;38.42
ZJHKR40;16125.00;90;36.78
ZJ7KV40_ZINKW40;16125.00;84;39.44
ZJSJD40;16125.00;164;22.26
ZK5JW60;16125.00;78;31.06
ZK7K820;16125.00;44;41.5
Z7230E0_ZK7KP40;16125.00;83;24.44
ZJHKR20_ZJWJ740;16125.00;96;32.78
ZKJJP20;16125.00;140;28.04
ZK9KC60;16125.00;166;20.04
ZJTJ960;16125.00;41;36.05
ZJQJI20;16125.00;114;23.51
ZJTJ820;16125.00;175;36.16
ZJHKR40;16130.00;85;35.62
ZJ7KV40_ZINKW40;16130.00;79;40.1
ZJSJD40;16130.00;165;19.67
ZK5JW60;16130.00;48;28.25
ZK7K820;16130.00;18;38.5
Z7230E0_ZK7KP40;16130.00;69;28.54
ZJHKR20_ZJWJ740;16130.00;120;29.62
ZKJJP20;16130.00;143;26.64
ZK9KC60;16130.00;138;25.7
ZJTJ960;16130.00;31;35.61
ZJQJI20;16130.00;119;30.21
ZJTJ820;16130.00;168;38.35
ZJHKR40;16135.00;74;32.8
ZJ7KV40_ZINKW40;16135.00;76;41.97
ZJSJD40;16135.00;180;17.74
ZK5JW60;16135.00;70;33.39
ZK7K820;16135.00;37;38.46
Z7230E0_ZK7KP40;16135.00;75;25.69
ZJHKR20_ZJWJ740;16135.00;108;32.05
ZKJJP20;16135.00;116;19.4
ZK9KC60;16135.00;112;25.96
ZJTJ960;16135.00;36;46.44
ZJQJI20;16135.00;138;24.7
ZJTJ820;16135.00;147;39.42
ZJHKR40;16140.00;102;32.23
ZJ7KV40_ZINKW40;16140.00;85;41.0
ZJSJD40;16140.00;154;20.53
ZK5JW60;16140.00;78;31.47
ZK7K820;16140.00;35;30.11
Z7230E0_ZK7KP40;16140.00;78;27.04
ZJHKR20_ZJWJ740;16140.00;107;28.01
ZKJJP20;16140.00;163;34.83
ZK9KC60;16140.00;80;21.36
ZJTJ960;16140.00;49;34.9
ZJQJI20;16140.00;128;32.38
ZJTJ820;16140.00;136;40.51
ZJHKR40;16145.00;74;31.39
ZJ7KV40_ZINKW40;16145.00;70;41.61
ZJSJD40;16145.00;164;17.74
ZK5JW60;16145.00;91;30.86
ZK7K820;16145.00;35;32.91
Z7230E0_ZK7KP40;16145.00;68;24.98
ZJHKR20_ZJWJ740;16145.00;134;33.39
ZKJJP20;16145.00;154;34.32
ZK9KC60;16145.00;98;24.27
ZJTJ960;16145.00;44;37.14
ZJQJI20;16145.00;131;28.73
ZJTJ820;16145.00;149;41.63
ZJHKR40;16150.00;81;28.12
ZJ7KV40_ZINKW40;16150.00;89;39.98
ZJSJD40;16150.00;159;24.38
ZK5JW60;16150.00;66;33.08
ZK7K820;16150.00;32;40.09
Z7230E0_ZK7KP40;16150.00;76;22.83
ZJHKR20_ZJWJ740;16150.00;121;34.35
ZKJJP20;16150.00;89;26.63
ZK9KC60;16150.00;74;33.14
ZJTJ960;16150.00;50;36.32
ZJQJI20;16150.00;68;24.72
ZJTJ820;16150.00;126;46.47
ZJHKR40;16155.00;63;30.22
ZJ7KV40_ZINKW40;16155.00;80;38.67
ZJSJD40;16155.00;117;22.54
ZK5JW60;16155.00;82;31.67
ZK7K820;16155.00;34;35.09
Z7230E0_ZK7KP40;16155.00;71;19.54
ZJHKR20_ZJWJ740;16155.00;121;38.23
ZKJJP20;16155.00;134;29.5
ZK9KC60;16155.00;102;28.52
ZJTJ960;16155.00;46;38.93
