Detector;Time;qPKW;vPKW
Z7230E0_ZK7KP40;200.00;70;37.82
ZJHKR20_ZJWJ740;200.00;111;40.47
ZKJJP20;200.00;147;38.84
ZK9KC60;200.00;142;37.32
ZJQJI20;200.00;111;40.56
ZJTJ820;200.00;119;47.37
ZJHKR40;205.00;53;29.26
ZJ7KV40_ZINKW40;205.00;64;41.49
ZJSJD40;205.00;93;22.49
ZK5JW60;205.00;41;36.51
ZK7K820;205.00;27;37.19
Z7230E0_ZK7KP40;205.00;88;35.97
ZJHKR20_ZJWJ740;205.00;108;40.09
ZKJJP20;205.00;148;41.62
ZK9KC60;205.00;111;33.9
ZJQJI20;205.00;110;40.88
ZJTJ820;205.00;136;45.08
ZJHKR40;210.00;110;28.18
ZJ7KV40_ZINKW40;210.00;80;39.28
ZJSJD40;210.00;122;24.56
ZK5JW60;210.00;43;32.14
ZK7K820;210.00;23;31.35
Z7230E0_ZK7KP40;210.00;65;32.28
ZJHKR20_ZJWJ740;210.00;100;41.86
ZKJJP20;210.00;142;43.09
ZK9KC60;210.00;124;42.19
ZJQJI20;210.00;109;40.98
ZJTJ820;210.00;147;49.18
ZJHKR40;215.00;57;33.02
ZJ7KV40_ZINKW40;215.00;105;39.16
ZJSJD40;215.00;75;22.35
ZK5JW60;215.00;49;34.04
ZK7K820;215.00;23;32.09
Z7230E0_ZK7KP40;215.00;80;32.36
ZJHKR20_ZJWJ740;215.00;117;42.08
ZKJJP20;215.00;133;44.53
ZK9KC60;215.00;131;35.42
ZJQJI20;215.00;111;38.12
ZJTJ820;215.00;146;43.94
ZJHKR40;220.00;80;30.23
ZJ7KV40_ZINKW40;220.00;87;38.64
ZJSJD40;220.00;113;18.46
ZK5JW60;220.00;30;33.2
ZK7K820;220.00;18;34.94
Z7230E0_ZK7KP40;220.00;59;30.88
ZJHKR20_ZJWJ740;220.00;121;40.26
ZKJJP20;220.00;145;43.23
ZK9KC60;220.00;100;39.05
ZJQJI20;220.00;110;38.72
ZJTJ820;220.00;118;50.12
